Watershed,Latitiude,Longitude,rvalue_1
1,-14.917700000000000,-51.149700000000000,1621.000000000000000
2,-11.857500000000000,-50.730499999999900,1595.000000000000000
3,32.000000000000000,103.000000000000000,850.000000000000000
4,11.002800000000000,106.010000000000000,1745.000000000000000
5,53.675400000000000,-121.747200000000000,870.000000000000000
6,42.000000000000000,116.957099999999000,1226.000000000000000
7,53.676600000000000,-121.783799999999000,866.000000000000000
8,-37.353299999999900,145.145399999999000,1307.000000000000000
9,37.500000000000000,110.000000000000000,1481.000000000000000
10,-37.011099999999900,146.387599999999000,1304.000000000000000
11,-38.000000000000000,-72.000000000000000,1195.000000000000000
12,0.000000000000000,102.000000000000000,1464.000000000000000
13,38.000000000000000,112.000000000000000,1415.000000000000000
14,30.784600000000000,113.823700000000000,1213.000000000000000
15,39.000000000000000,111.000000000000000,1478.000000000000000
16,-2.096900000000000,-67.126199999999900,1235.000000000000000
17,37.500000000000000,110.000000000000000,1481.000000000000000
18,-6.574800000000000,-69.428899999999900,1204.000000000000000
19,25.000000000000000,99.333299999999900,1441.000000000000000
20,5.012500000000000,102.000000000000000,1533.000000000000000
21,40.000000000000000,110.000000000000000,1436.000000000000000
22,48.310000000000000,74.569999999999900,1156.000000000000000
23,48.710000000000000,64.450000000000000,1469.000000000000000
24,48.710000000000000,-75.000000000000000,726.000000000000000
25,48.820000000000000,74.859999999999900,1078.000000000000000
26,-33.236100000000000,146.415099999999000,1988.000000000000000
27,48.049999999999900,47.950000000000000,1366.000000000000000
28,-31.597799999999900,147.785799999999000,2019.000000000000000
29,-6.839900000000000,-62.310099999999900,1246.000000000000000
30,26.500000000000000,116.000000000000000,1275.000000000000000
31,26.500000000000000,116.000000000000000,1275.000000000000000
32,41.000000000000000,117.000000000000000,1366.000000000000000
33,43.000000000000000,-115.000000000000000,1680.000000000000000
34,-35.866500000000000,144.314999999999000,1726.000000000000000
35,-34.888500000000000,146.589200000000000,1879.000000000000000
36,19.554500000000000,105.058099999999000,1404.000000000000000
37,-8.115800000000000,-77.984300000000000,1271.000000000000000
38,47.500000000000000,-122.500000000000000,
39,-7.645700000000000,-66.358500000000000,1221.000000000000000
40,42.058100000000000,2.999700000000000,1335.000000000000000
41,37.000000000000000,111.000000000000000,1380.000000000000000
42,35.000000000000000,110.000000000000000,1393.000000000000000
43,-2.639900000000000,-66.321500000000000,1260.000000000000000
44,-2.639900000000000,-66.321500000000000,1260.000000000000000
45,32.133099999999900,102.525400000000000,873.000000000000000
46,42.399200000000000,1.127300000000000,1311.000000000000000
47,-5.292800000000000,-56.925699999999900,1336.000000000000000
48,34.833300000000000,108.833299999999000,1320.000000000000000
49,-13.000000000000000,-48.000000000000000,1602.000000000000000
50,-31.533300000000000,-55.683300000000000,1604.000000000000000
51,32.000000000000000,103.000000000000000,850.000000000000000
52,38.000000000000000,100.000000000000000,840.000000000000000
53,-37.149299999999900,147.299900000000000,1260.000000000000000
54,37.500000000000000,111.000000000000000,1445.000000000000000
55,54.076300000000000,-122.472499999999000,846.000000000000000
56,37.986499999999900,109.849699999999000,1495.000000000000000
57,31.333300000000000,110.666700000000000,1170.000000000000000
58,46.966700000000000,128.699999999999000,968.000000000000000
59,-7.462900000000000,-52.655400000000000,1409.000000000000000
60,38.000000000000000,111.000000000000000,1432.000000000000000
61,36.000000000000000,110.000000000000000,1299.000000000000000
